Record,Date,UTC Time,Akcelerometr1,Akcelerometr2,Czujnik_temp1,Czujnik_temp2
       200, 8/03/2016,10:14:40,   5.600000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
       201, 8/03/2016,10:14:41,   5.600000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
       202, 8/03/2016,10:14:42,   5.500000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
       203, 8/03/2016,10:14:43,   5.600000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
       204, 8/03/2016,10:14:44,   5.600000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
       205, 8/03/2016,10:14:45,   5.600000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
       206, 8/03/2016,10:14:46,   5.600000E-01,   6.300000E-01,   0.000000E+00,   0.000000E+00
       207, 8/03/2016,10:14:47,   5.600000E-01,   6.000000E-01,   0.000000E+00,   0.000000E+00
       208, 8/03/2016,10:14:48,   5.600000E-01,   6.000000E-01,   0.000000E+00,   0.000000E+00
       209, 8/03/2016,10:14:49,   5.600000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
       210, 8/03/2016,10:14:50,   5.700000E-01,   6.000000E-01,   0.000000E+00,   0.000000E+00
       211, 8/03/2016,10:14:51,   5.600000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
       212, 8/03/2016,10:14:52,   5.600000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
       213, 8/03/2016,10:14:53,   5.500000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
       214, 8/03/2016,10:14:54,   5.600000E-01,   6.000000E-01,   0.000000E+00,   0.000000E+00
       215, 8/03/2016,10:14:55,   5.600000E-01,   6.500000E-01,   0.000000E+00,   0.000000E+00
       216, 8/03/2016,10:14:56,   8.500000E-01,   9.000000E-01,   0.000000E+00,   0.000000E+00
       217, 8/03/2016,10:14:57,   8.700000E-01,   9.700000E-01,   0.000000E+00,   0.000000E+00
       218, 8/03/2016,10:14:58,   5.700000E-01,   6.100000E-01,   0.000000E+00,   0.000000E+00
       219, 8/03/2016,10:14:59,   5.600000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
       220, 8/03/2016,10:15:00,   5.500000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
       221, 8/03/2016,10:15:01,   5.600000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
       222, 8/03/2016,10:15:02,   5.600000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
       223, 8/03/2016,10:15:03,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
       224, 8/03/2016,10:15:04,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
       225, 8/03/2016,10:15:05,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
       226, 8/03/2016,10:15:06,   5.600000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
       227, 8/03/2016,10:15:07,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
       228, 8/03/2016,10:15:08,   5.600000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
       229, 8/03/2016,10:15:09,   5.600000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
       230, 8/03/2016,10:15:10,   5.600000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
       231, 8/03/2016,10:15:11,   5.600000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
       232, 8/03/2016,10:15:12,   5.600000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
       233, 8/03/2016,10:15:13,   5.500000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
       234, 8/03/2016,10:15:14,   5.600000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
       235, 8/03/2016,10:15:15,   5.600000E-01,   6.000000E-01,   0.000000E+00,   0.000000E+00
       236, 8/03/2016,10:15:16,   5.600000E-01,   6.200000E-01,   0.000000E+00,   0.000000E+00
       237, 8/03/2016,10:15:17,   5.600000E-01,   6.300000E-01,   0.000000E+00,   0.000000E+00
       238, 8/03/2016,10:15:18,   5.600000E-01,   6.100000E-01,   0.000000E+00,   0.000000E+00
       239, 8/03/2016,10:15:19,   7.000000E-01,   1.050000E+00,   0.000000E+00,   0.000000E+00
       240, 8/03/2016,10:15:20,   5.700000E-01,   6.400000E-01,   0.000000E+00,   0.000000E+00
       241, 8/03/2016,10:15:21,   5.600000E-01,   6.100000E-01,   0.000000E+00,   0.000000E+00
       242, 8/03/2016,10:15:22,   5.600000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
       243, 8/03/2016,10:15:23,   5.600000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
       244, 8/03/2016,10:15:24,   5.600000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
       245, 8/03/2016,10:15:25,   5.600000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
       246, 8/03/2016,10:15:26,   5.600000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
       247, 8/03/2016,10:15:27,   5.600000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
       248, 8/03/2016,10:15:28,   5.600000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
       249, 8/03/2016,10:15:29,   6.100000E-01,   9.400000E-01,   0.000000E+00,   0.000000E+00
       250, 8/03/2016,10:15:30,   5.600000E-01,   6.000000E-01,   0.000000E+00,   0.000000E+00
       251, 8/03/2016,10:15:31,   5.600000E-01,   6.000000E-01,   0.000000E+00,   0.000000E+00
       252, 8/03/2016,10:15:32,   5.600000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
       253, 8/03/2016,10:15:33,   5.600000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
       254, 8/03/2016,10:15:34,   5.600000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
       255, 8/03/2016,10:15:35,   5.600000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
       256, 8/03/2016,10:15:36,   5.600000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
       257, 8/03/2016,10:15:37,   5.600000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
       258, 8/03/2016,10:15:38,   5.600000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
       259, 8/03/2016,10:15:39,   5.600000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
